Importing country,Product,Value of the trade flow (thousands current USD),Quantity (in metric tons),Exporter
American Samoa,Aluminium and articles thereof,13.713,2.2830000000000004,Pacific
American Samoa,Articles of iron or steel,187.61000000000007,86.187,Pacific
American Samoa,Copper and articles thereof,0.899,0.07,Pacific
American Samoa,Iron and steel,224.93599999999998,212.52999999999997,Pacific
American Samoa,"Mineral fuels, mineral oils and products of their distillation",918.485,1480.592,Pacific
American Samoa,Miscellaneous articles of base metal,0.01,0.01,Pacific
Armenia,Articles of iron or steel,0.014,0.0,Pacific
Australia,Aluminium and articles thereof,1465.9629999999997,1581.788,Pacific
Australia,Articles of iron or steel,1360.1889999999999,825.5509999999999,Pacific
Australia,Copper and articles thereof,3997.17,1293.817,Pacific
Australia,Gold,2569017.6160000004,62.676,Pacific
Australia,Iron and steel,641.7029999999999,4596.449,Pacific
Australia,Lead and articles thereof,5.011,6.13,Pacific
Australia,"Mineral fuels, mineral oils and products of their distillation",227200.782,589654.454,Pacific
Australia,Miscellaneous articles of base metal,88.72699999999999,7.131,Pacific
Australia,"Ores, slag and ash",0.768,0.139,Pacific
Austria,Articles of iron or steel,6.628,0.372,Pacific
Austria,"Mineral fuels, mineral oils and products of their distillation",1.07,0.931,Pacific
Austria,Miscellaneous articles of base metal,1.13,0.01,Pacific
Azerbaijan,Articles of iron or steel,0.05,0.002,Pacific
Bangladesh,Iron and steel,984.711,3512.424,Pacific
Belarus,Articles of iron or steel,0.994,0.012,Pacific
Belgium,Articles of iron or steel,2.146,0.026,Pacific
Belgium,"Mineral fuels, mineral oils and products of their distillation",0.202,0.001,Pacific
Belgium,Miscellaneous articles of base metal,0.429,0.018,Pacific
Bermuda,Aluminium and articles thereof,0.2,0.015,Pacific
Bosnia Herzegovina,Articles of iron or steel,0.7080000000000001,0.163,Pacific
Bosnia Herzegovina,Miscellaneous articles of base metal,0.004,0.001,Pacific
Brazil,Aluminium and articles thereof,119.81,47.181000000000004,Pacific
Brazil,Articles of iron or steel,7.368999999999999,1.5359999999999998,Pacific
Brazil,Miscellaneous articles of base metal,43.864999999999995,8.206,Pacific
Brazil,Tin and articles thereof,0.32,0.002,Pacific
Brazil,Zinc and articles thereof,32.376,4.381,Pacific
Brunei Darussalam,"Mineral fuels, mineral oils and products of their distillation",47037.512,51.93,Pacific
Bulgaria,"Ores, slag and ash",87445.095,7141.74,Pacific
Canada,Aluminium and articles thereof,4.298,0.08000000000000002,Pacific
Canada,Articles of iron or steel,9.715,0.806,Pacific
Canada,Iron and steel,2.154,1.359,Pacific
Canada,"Mineral fuels, mineral oils and products of their distillation",0.01,0.003,Pacific
Canada,Miscellaneous articles of base metal,4.829000000000001,0.003,Pacific
Canada,Nickel and articles thereof,104.236,6.002,Pacific
Canada,"Ores, slag and ash",0.084,0.104,Pacific
Canada,Other base metals; cermets; articles thereof,3.698,0.07,Pacific
Chile,Articles of iron or steel,3.242,0.059,Pacific
Chile,Copper and articles thereof,1.469,0.053,Pacific
Chile,Iron and steel,0.875,21.81,Pacific
China,Aluminium and articles thereof,0.08,0.062,Pacific
China,Articles of iron or steel,30.527,20.546000000000003,Pacific
China,Copper and articles thereof,128.157,18.762,Pacific
China,Iron and steel,340.10900000000004,603.857,Pacific
China,"Mineral fuels, mineral oils and products of their distillation",1478304.401,3101154.312,Pacific
China,Miscellaneous articles of base metal,1.706,0.833,Pacific
China,Nickel and articles thereof,535364.323,214377.04799999998,Pacific
China,"Ores, slag and ash",303772.2,1489233.913,Pacific
"China, Hong Kong SAR",Aluminium and articles thereof,175.74,204.576,Pacific
"China, Hong Kong SAR",Articles of iron or steel,2.6109999999999998,0.111,Pacific
"China, Hong Kong SAR",Copper and articles thereof,4.031,10.5,Pacific
"China, Hong Kong SAR",Gold,394.656,0.012,Pacific
"China, Hong Kong SAR","Mineral fuels, mineral oils and products of their distillation",34420.642,102712.0,Pacific
"China, Hong Kong SAR","Ores, slag and ash",1379.887,43847.8,Pacific
Christmas Isds,Aluminium and articles thereof,3.9040000000000004,9.090999999999998,Pacific
Christmas Isds,Articles of iron or steel,209.14500000000007,423.15299999999996,Pacific
Christmas Isds,Iron and steel,48.723,68.339,Pacific
Christmas Isds,"Mineral fuels, mineral oils and products of their distillation",15.723,6.706,Pacific
Christmas Isds,Miscellaneous articles of base metal,5.818,3.0180000000000002,Pacific
Colombia,Aluminium and articles thereof,0.25,0.022,Pacific
Colombia,Articles of iron or steel,0.056,0.0,Pacific
Colombia,Miscellaneous articles of base metal,33.13,7.579,Pacific
Cook Isds,Aluminium and articles thereof,10.681000000000001,0.927,Pacific
Cook Isds,Articles of iron or steel,135.574,76.45499999999998,Pacific
Cook Isds,Copper and articles thereof,0.209,0.35,Pacific
Cook Isds,Iron and steel,51.434,42.686,Pacific
Cook Isds,"Mineral fuels, mineral oils and products of their distillation",16865.079999999998,28971.721999999998,Pacific
Cook Isds,Miscellaneous articles of base metal,1.48,0.026000000000000002,Pacific
Czechia,Aluminium and articles thereof,0.116,0.002,Pacific
Czechia,Articles of iron or steel,24.893,9.386999999999997,Pacific
Czechia,Copper and articles thereof,1.1159999999999999,0.02,Pacific
Czechia,Iron and steel,42.024,31.822,Pacific
Czechia,"Mineral fuels, mineral oils and products of their distillation",27.039,39.28,Pacific
Côte d'Ivoire,Articles of iron or steel,0.5379999999999999,0.01,Pacific
Dem. People's Rep. of Korea,Miscellaneous articles of base metal,0.213,0.067,Pacific
Ecuador,Articles of iron or steel,0.661,0.14,Pacific
Ecuador,"Mineral fuels, mineral oils and products of their distillation",20531.346,31330.8,Pacific
FS Micronesia,Copper and articles thereof,7.008,10.0,Pacific
FS Micronesia,"Mineral fuels, mineral oils and products of their distillation",157.273,161.0,Pacific
Fiji,Aluminium and articles thereof,0.132,0.015,Pacific
Fiji,Articles of iron or steel,50.815,9.268999999999998,Pacific
Fiji,Copper and articles thereof,4.507,0.8,Pacific
Fiji,Iron and steel,41.517999999999994,17.236,Pacific
Fiji,"Mineral fuels, mineral oils and products of their distillation",17.511000000000003,26.730999999999998,Pacific
Fiji,Miscellaneous articles of base metal,5.983,0.121,Pacific
Finland,Articles of iron or steel,4.886,0.060000000000000005,Pacific
Finland,"Ores, slag and ash",0.013,0.075,Pacific
France,Aluminium and articles thereof,1.668,0.174,Pacific
France,Articles of iron or steel,50.373000000000005,4.742,Pacific
France,Lead and articles thereof,0.155,4.16,Pacific
France,"Mineral fuels, mineral oils and products of their distillation",2.263,0.138,Pacific
France,Miscellaneous articles of base metal,1599.606,56.615,Pacific
French Polynesia,Articles of iron or steel,13.841,6.133,Pacific
Germany,Aluminium and articles thereof,1602.575,1254.452,Pacific
Germany,Articles of iron or steel,93.178,20.061,Pacific
Germany,Gold,35.114,0.001,Pacific
Germany,Miscellaneous articles of base metal,1.575,0.001,Pacific
Germany,"Ores, slag and ash",45723.368,10575.172,Pacific
Ghana,Aluminium and articles thereof,0.655,0.116,Pacific
Ghana,Articles of iron or steel,0.038,0.206,Pacific
Ghana,Iron and steel,128.503,241.852,Pacific
Greece,"Mineral fuels, mineral oils and products of their distillation",4.541,0.585,Pacific
Guam,Articles of iron or steel,1.39,0.017,Pacific
Honduras,Aluminium and articles thereof,0.115,0.014,Pacific
India,Aluminium and articles thereof,12.965,10.2,Pacific
India,Articles of iron or steel,67.365,20.688,Pacific
India,Copper and articles thereof,301.876,53.44,Pacific
India,Gold,6483.885,0.186,Pacific
India,Iron and steel,450.07599999999996,1766.205,Pacific
India,"Mineral fuels, mineral oils and products of their distillation",110.696,476.0,Pacific
India,Miscellaneous articles of base metal,20.524,1.7,Pacific
India,"Ores, slag and ash",2073.459,46279.0,Pacific
Indonesia,Articles of iron or steel,3.125,0.904,Pacific
Indonesia,Iron and steel,852.402,2664.098,Pacific
Indonesia,"Mineral fuels, mineral oils and products of their distillation",35775.603,77702.7,Pacific
Indonesia,Miscellaneous articles of base metal,0.047,0.001,Pacific
Ireland,Articles of iron or steel,0.159,0.004,Pacific
Ireland,Miscellaneous articles of base metal,0.045,0.012,Pacific
Israel,Aluminium and articles thereof,11.0,1.637,Pacific
Israel,Articles of iron or steel,5.911,1.445,Pacific
Israel,Iron and steel,203.12800000000001,321.126,Pacific
Italy,Gold,50401.178,1.52,Pacific
Japan,Aluminium and articles thereof,2.509,0.311,Pacific
Japan,Articles of iron or steel,13.142999999999999,64.62299999999999,Pacific
Japan,Copper and articles thereof,743.193,134.637,Pacific
Japan,"Mineral fuels, mineral oils and products of their distillation",1906427.858,3945345.15,Pacific
Japan,"Ores, slag and ash",468575.119,229796.0,Pacific
Kiribati,Aluminium and articles thereof,42.908,17.871,Pacific
Kiribati,Articles of iron or steel,520.9440000000001,255.892,Pacific
Kiribati,Copper and articles thereof,10.17,6.425000000000001,Pacific
Kiribati,Iron and steel,830.752,619.9219999999998,Pacific
Kiribati,"Mineral fuels, mineral oils and products of their distillation",632.6670000000001,785.8829999999999,Pacific
Kiribati,Miscellaneous articles of base metal,41.90200000000001,20.566000000000003,Pacific
Kiribati,Zinc and articles thereof,8.573,3.79,Pacific
Luxembourg,Articles of iron or steel,1.042,0.065,Pacific
Luxembourg,Miscellaneous articles of base metal,0.004,0.0,Pacific
Malaysia,Aluminium and articles thereof,1053.687,949.389,Pacific
Malaysia,Articles of iron or steel,20.365,6.186,Pacific
Malaysia,Copper and articles thereof,84.283,31.623,Pacific
Malaysia,Iron and steel,1329.104,5891.762000000001,Pacific
Malaysia,"Mineral fuels, mineral oils and products of their distillation",78876.545,150632.424,Pacific
Malaysia,Other base metals; cermets; articles thereof,229.819,1163.731,Pacific
Malaysia,Tin and articles thereof,7.799,17.046,Pacific
Marshall Isds,Aluminium and articles thereof,82.25,7.524,Pacific
Marshall Isds,Articles of iron or steel,180.977,42.837,Pacific
Marshall Isds,Copper and articles thereof,14.088,10.0,Pacific
Marshall Isds,"Mineral fuels, mineral oils and products of their distillation",1260.971,2162.544,Pacific
Mauritius,Articles of iron or steel,13.524,4.2,Pacific
Mauritius,"Mineral fuels, mineral oils and products of their distillation",0.298,0.2,Pacific
Morocco,Iron and steel,0.358,1.52,Pacific
Namibia,Iron and steel,43.077,175.985,Pacific
Nauru,Aluminium and articles thereof,22.240999999999996,5.145,Pacific
Nauru,Articles of iron or steel,118.02199999999999,51.26500000000001,Pacific
Nauru,Copper and articles thereof,1.246,2.9419999999999997,Pacific
Nauru,Iron and steel,158.42000000000004,74.331,Pacific
Nauru,"Mineral fuels, mineral oils and products of their distillation",97.75399999999999,181.326,Pacific
Nauru,Miscellaneous articles of base metal,4.656000000000001,0.63,Pacific
Netherlands,Articles of iron or steel,18.819,0.459,Pacific
Netherlands,"Mineral fuels, mineral oils and products of their distillation",0.032,0.004,Pacific
Netherlands,Miscellaneous articles of base metal,21.261,0.913,Pacific
New Caledonia,Aluminium and articles thereof,1.407,0.5569999999999999,Pacific
New Caledonia,Articles of iron or steel,3.5949999999999998,2.391,Pacific
New Caledonia,Iron and steel,4.711,3.421,Pacific
New Caledonia,"Mineral fuels, mineral oils and products of their distillation",1107.274,1988.391,Pacific
New Zealand,Aluminium and articles thereof,141.77999999999997,103.478,Pacific
New Zealand,Articles of iron or steel,16917.795,2017.6239999999991,Pacific
New Zealand,Copper and articles thereof,54.237,21.516,Pacific
New Zealand,Gold,18.039,0.0,Pacific
New Zealand,Iron and steel,237.219,1121.2869999999998,Pacific
New Zealand,"Mineral fuels, mineral oils and products of their distillation",891.9490000000001,1584.2469999999998,Pacific
New Zealand,Miscellaneous articles of base metal,13.818,3.0309999999999997,Pacific
New Zealand,"Ores, slag and ash",15.648,188.674,Pacific
Nicaragua,"Mineral fuels, mineral oils and products of their distillation",3462.214,5062.54,Pacific
Niue,Articles of iron or steel,0.123,0.348,Pacific
Niue,Iron and steel,0.113,0.348,Pacific
Niue,Miscellaneous articles of base metal,2.569,1.031,Pacific
Norfolk Isds,"Mineral fuels, mineral oils and products of their distillation",2715.113,5079.245,Pacific
North Macedonia,Articles of iron or steel,0.188,0.002,Pacific
"Other Asia, nes",Aluminium and articles thereof,183.107,210.81900000000002,Pacific
"Other Asia, nes",Articles of iron or steel,0.824,30.325,Pacific
"Other Asia, nes",Copper and articles thereof,333.265,67.643,Pacific
"Other Asia, nes",Iron and steel,405.147,1986.0,Pacific
"Other Asia, nes","Mineral fuels, mineral oils and products of their distillation",737826.285,1484547.0,Pacific
Pakistan,Aluminium and articles thereof,19.362,8.78,Pacific
Pakistan,Articles of iron or steel,0.034,0.01,Pacific
Pakistan,Iron and steel,0.183,1.0,Pacific
Palau,Articles of iron or steel,1.39,0.017,Pacific
Papua New Guinea,Aluminium and articles thereof,45.900999999999996,3.277,Pacific
Papua New Guinea,Articles of iron or steel,298.37600000000003,63.91799999999999,Pacific
Papua New Guinea,Copper and articles thereof,9.417000000000002,1.1,Pacific
Papua New Guinea,"Mineral fuels, mineral oils and products of their distillation",24.885,11.705,Pacific
Papua New Guinea,Miscellaneous articles of base metal,3.107,0.189,Pacific
Peru,Miscellaneous articles of base metal,0.063,0.001,Pacific
Philippines,Articles of iron or steel,10.644,2.9659999999999997,Pacific
Philippines,Copper and articles thereof,5.178,1.888,Pacific
Philippines,Iron and steel,527.068,341.335,Pacific
Philippines,"Mineral fuels, mineral oils and products of their distillation",1979.4019999999998,4746.887000000001,Pacific
Philippines,Miscellaneous articles of base metal,55.863,1.507,Pacific
Philippines,Other base metals; cermets; articles thereof,0.094,0.001,Pacific
Poland,Articles of iron or steel,0.493,0.034,Pacific
Poland,Iron and steel,7.046,8.035,Pacific
Poland,Miscellaneous articles of base metal,0.288,0.029,Pacific
Portugal,Iron and steel,10.506,64.6,Pacific
Portugal,"Mineral fuels, mineral oils and products of their distillation",0.49,120.02000000000001,Pacific
Rep. of Korea,Aluminium and articles thereof,4178.391,3840.588,Pacific
Rep. of Korea,Articles of iron or steel,84.836,61.161,Pacific
Rep. of Korea,Copper and articles thereof,1312.6209999999999,292.98,Pacific
Rep. of Korea,Iron and steel,2813.3469999999998,10395.172999999999,Pacific
Rep. of Korea,"Mineral fuels, mineral oils and products of their distillation",201500.22100000002,529482.504,Pacific
Rep. of Korea,Miscellaneous articles of base metal,18.102999999999998,1.047,Pacific
Rep. of Korea,"Ores, slag and ash",123372.712,56016.129,Pacific
Russian Federation,Articles of iron or steel,0.491,0.006,Pacific
Samoa,Aluminium and articles thereof,113.07499999999999,11.017,Pacific
Samoa,Articles of iron or steel,733.65,349.81600000000003,Pacific
Samoa,Copper and articles thereof,1.197,0.402,Pacific
Samoa,Iron and steel,32.026,23.299,Pacific
Samoa,Lead and articles thereof,0.025,0.005,Pacific
Samoa,"Mineral fuels, mineral oils and products of their distillation",1490.258,2280.852,Pacific
Samoa,Miscellaneous articles of base metal,20.05,9.445,Pacific
Serbia,Articles of iron or steel,0.352,0.022,Pacific
Seychelles,Articles of iron or steel,2.973,0.15,Pacific
Singapore,Aluminium and articles thereof,614.495,244.49199999999996,Pacific
Singapore,Articles of iron or steel,95.326,582.9110000000001,Pacific
Singapore,Copper and articles thereof,199.192,46.974000000000004,Pacific
Singapore,Gold,199.15,0.059,Pacific
Singapore,Iron and steel,1295.6150000000002,7004.03,Pacific
Singapore,"Mineral fuels, mineral oils and products of their distillation",156867.45,375256.094,Pacific
Singapore,Miscellaneous articles of base metal,1.5430000000000001,0.23500000000000001,Pacific
Slovakia,Articles of iron or steel,15.394,12.52,Pacific
Slovakia,Copper and articles thereof,0.042,0.001,Pacific
Slovakia,Miscellaneous articles of base metal,1.7129999999999999,0.021,Pacific
Slovenia,Articles of iron or steel,24.606000000000005,8.72,Pacific
Slovenia,Iron and steel,0.047,0.005,Pacific
Slovenia,Miscellaneous articles of base metal,1.5739999999999998,0.14900000000000002,Pacific
Solomon Isds,Aluminium and articles thereof,13.908000000000001,12.42,Pacific
Solomon Isds,Articles of iron or steel,46.214999999999996,15.328000000000001,Pacific
Solomon Isds,Copper and articles thereof,3.25,12.213000000000001,Pacific
Solomon Isds,Iron and steel,65.872,50.0,Pacific
Solomon Isds,"Mineral fuels, mineral oils and products of their distillation",15.977,16.2,Pacific
Solomon Isds,Miscellaneous articles of base metal,3.302,1.126,Pacific
South Africa,Articles of iron or steel,21.541,10.841,Pacific
South Africa,Iron and steel,0.199,1.206,Pacific
South Africa,"Mineral fuels, mineral oils and products of their distillation",5.867999999999999,210.7,Pacific
South Africa,Miscellaneous articles of base metal,0.023,0.027000000000000003,Pacific
South Africa,Other base metals; cermets; articles thereof,0.11,0.034,Pacific
Spain,Aluminium and articles thereof,2.295,0.41,Pacific
Spain,Articles of iron or steel,1244.585,1975.916,Pacific
Spain,Iron and steel,0.198,10.0,Pacific
Spain,"Mineral fuels, mineral oils and products of their distillation",0.13,0.35,Pacific
Sri Lanka,Iron and steel,9.644,77.655,Pacific
Sri Lanka,Miscellaneous articles of base metal,0.509,0.033,Pacific
Switzerland,Aluminium and articles thereof,2.728,0.09,Pacific
Switzerland,Articles of iron or steel,316.174,26.009999999999998,Pacific
Switzerland,Iron and steel,13.463999999999999,13.897,Pacific
Thailand,Aluminium and articles thereof,0.12,0.008,Pacific
Thailand,Articles of iron or steel,40.036,30.520000000000003,Pacific
Thailand,Iron and steel,50.272,44.671,Pacific
Thailand,"Mineral fuels, mineral oils and products of their distillation",135649.442,338834.488,Pacific
Thailand,Miscellaneous articles of base metal,1.825,0.244,Pacific
Timor-Leste,Articles of iron or steel,6.801,0.97,Pacific
Timor-Leste,Miscellaneous articles of base metal,0.342,0.12,Pacific
Tonga,Aluminium and articles thereof,10.813,5.003,Pacific
Tonga,Articles of iron or steel,774.7040000000003,327.03200000000004,Pacific
Tonga,Copper and articles thereof,80.89200000000001,46.102,Pacific
Tonga,Iron and steel,453.80000000000007,274.882,Pacific
Tonga,"Mineral fuels, mineral oils and products of their distillation",42926.464,76406.747,Pacific
Tonga,Miscellaneous articles of base metal,33.900000000000006,12.404,Pacific
Tunisia,Articles of iron or steel,2.6029999999999998,0.20400000000000001,Pacific
Turkey,Aluminium and articles thereof,0.593,0.006,Pacific
Turkey,Articles of iron or steel,2.558,0.7590000000000001,Pacific
Tuvalu,Aluminium and articles thereof,299.378,135.667,Pacific
Tuvalu,Articles of iron or steel,563.085,1821.355,Pacific
