Year,Exporting country,Importing country,Product,Value of the trade flow (thousands current USD),Quantity (in metric tons),description,Product category,hs4,hs2
2019,Fiji,Kiribati,"Mineral fuels, mineral oils and products of their distillation",2.695,2.0,"Paraffin wax: containing by weight 0.75% or more of oil, obtained by synthesis or by other processes, whether or not coloured",271290,2712,27
2019,Fiji,Rep. of Korea,"Mineral fuels, mineral oils and products of their distillation",26.599,43.006,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Fiji,Nauru,"Mineral fuels, mineral oils and products of their distillation",95.568,180.12,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Fiji,Nauru,"Mineral fuels, mineral oils and products of their distillation",0.241,0.134,"Petroleum gases and other gaseous hydrocarbons: in gaseous state, other than natural gas",271129,2711,27
2019,Fiji,Nauru,"Mineral fuels, mineral oils and products of their distillation",1.945,1.072,Petroleum jelly,271210,2712,27
2019,Fiji,New Caledonia,"Mineral fuels, mineral oils and products of their distillation",974.184,1782.491,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Fiji,New Caledonia,"Mineral fuels, mineral oils and products of their distillation",133.09,205.9,"Bitumen and asphalt, natural: asphaltites and asphaltic rock",271490,2714,27
2019,Fiji,Vanuatu,"Mineral fuels, mineral oils and products of their distillation",25.463,18.8,"Oils: petroleum oils and oils obtained from bituminous minerals, crude",270900,2709,27
2019,Fiji,Vanuatu,"Mineral fuels, mineral oils and products of their distillation",16.834,35.063,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Fiji,Vanuatu,"Mineral fuels, mineral oils and products of their distillation",0.703,0.063,Petroleum jelly,271210,2712,27
2019,Fiji,Vanuatu,"Mineral fuels, mineral oils and products of their distillation",1521.646,2324.17,"Bitumen and asphalt, natural: asphaltites and asphaltic rock",271490,2714,27
2019,Fiji,New Zealand,"Mineral fuels, mineral oils and products of their distillation",0.546,0.4,Oils and other products of the distillation of high temperature coal tar: n.e.c. in heading no. 2707,270799,2707,27
