Year,Exporting country,Importing country,Product,Value of the trade flow (thousands current USD),Quantity (in metric tons),description,Product category,hs4,hs2
2019,Kiribati,United Arab Emirates,Iron and steel,15.109,17.239,"Iron or non-alloy steel: (not in coils), flat-rolled, of a width 600mm or more, hot-rolled, without patterns in relief, of a thickness exceeding 10mm",720851,7208,72
2019,Kiribati,United Arab Emirates,Iron and steel,3.328,20.0,"Iron or non-alloy steel: flat-rolled, width 600mm or more, electrolytically plated or coated with zinc",721030,7210,72
2019,Kiribati,United Arab Emirates,Iron and steel,5.473,27.829,"Iron or non-alloy steel: H sections, hot-rolled, hot-drawn or extruded, of a height of 80mm or more",721633,7216,72
2019,Nauru,Czechia,Iron and steel,38.065,19.228,"Iron or non-alloy steel: bars and rods, of free-cutting steel, cold-formed or cold-finished, n.e.c. in chapter 72",721510,7215,72
2019,Nauru,Czechia,Iron and steel,2.145,11.556,"Steel, stainless: flat-rolled, width 600mm or more, hot-rolled, (not in coils), of a thickness exceeding 10mm",721921,7219,72
2019,Nauru,Czechia,Iron and steel,1.348,0.883,"Steel, alloy: flat-rolled, width less than 600mm, n.e.c. in item no. 7226.9",722699,7226,72
2019,Nauru,Czechia,Iron and steel,0.466,0.155,"Steel, alloy: bars and rods, cold-formed or cold-finished",722850,7228,72
2019,Nauru,Rep. of Korea,Iron and steel,17.08,72.0,Ferrous waste and scrap: of alloy steel (excluding stainless),720429,7204,72
2019,Nauru,Slovenia,Iron and steel,0.047,0.005,"Iron or non-alloy steel: flat-rolled, width 600mm or more, painted, varnished or coated with plastics",721070,7210,72
2019,Vanuatu,Australia,Iron and steel,9.663,8.55,Ferrous waste and scrap: of stainless steel,720421,7204,72
2019,Vanuatu,Rep. of Korea,Iron and steel,5.382,34.09,Ferrous waste and scrap: of cast iron,720410,7204,72
2019,Vanuatu,"Other Asia, nes",Iron and steel,192.292,769.0,Ferrous waste and scrap: n.e.c. in heading no. 7204,720449,7204,72
2019,Vanuatu,Pakistan,Iron and steel,0.183,1.0,Ferrous waste and scrap: of stainless steel,720421,7204,72
2019,Vanuatu,Singapore,Iron and steel,0.593,1.49,Ferrous waste and scrap: of stainless steel,720421,7204,72
2019,Niue,Rep. of Korea,Iron and steel,0.617,0.162,"Iron or non-alloy steel: angles, shapes and sections, cold-formed or cold-finished, obtained from flat-rolled products",721661,7216,72
2019,Niue,Rep. of Korea,Iron and steel,1.348,0.354,"Iron or non-alloy steel: angles, shapes and sections, n.e.c. in heading no. 7216, cold-formed or cold-finished, from flat-rolled products",721691,7216,72
2019,Niue,Poland,Iron and steel,0.184,0.041,"Iron or non-alloy steel: wire, (not plated or coated), whether or not polished",721710,7217,72
2019,FS Micronesia,Rep. of Korea,Iron and steel,174.135,767.78,Ferrous waste and scrap: n.e.c. in heading no. 7204,720449,7204,72
2019,FS Micronesia,"Other Asia, nes",Iron and steel,12.999,60.0,Ferrous waste and scrap: n.e.c. in heading no. 7204,720449,7204,72
2019,Marshall Isds,Australia,Iron and steel,5.157,41.13,Ferrous waste and scrap: of alloy steel (excluding stainless),720429,7204,72
2019,Marshall Isds,Chile,Iron and steel,0.875,21.81,Ferrous waste and scrap: of alloy steel (excluding stainless),720429,7204,72
2019,Marshall Isds,China,Iron and steel,313.367,582.795,Ferrous waste and scrap: n.e.c. in heading no. 7204,720449,7204,72
2019,Marshall Isds,Ghana,Iron and steel,128.503,241.852,"Iron or non-alloy steel: flat-rolled, width 600mm or more, painted, varnished or coated with plastics",721070,7210,72
2019,Marshall Isds,Indonesia,Iron and steel,17.559,25.999,"Iron or non-alloy steel: flat-rolled, width 600mm or more, plated or coated with tin, thickness of 0.5mm or more",721011,7210,72
2019,Marshall Isds,Indonesia,Iron and steel,8.52,16.18,"Iron or non-alloy steel: bars and rods, hot-rolled, hot-drawn or hot-extruded, n.e.c. in heading no. 7214, of rectangular (other than square) cross-section",721491,7214,72
2019,Marshall Isds,Indonesia,Iron and steel,3.863,22.106,"Iron or non-alloy steel: L sections, hot-rolled, hot-drawn or extruded, of a height of less than 80mm",721621,7216,72
2019,Marshall Isds,Indonesia,Iron and steel,119.253,211.568,"Iron or non-alloy steel: angles, shapes and sections, n.e.c. in heading no. 7216, hot-rolled, hot-drawn or extruded",721650,7216,72
2019,Marshall Isds,Israel,Iron and steel,25.974,30.759,"Iron or non-alloy steel: flat-rolled, width less than 600mm, plated or coated with zinc (not electrolytically)",721230,7212,72
2019,Marshall Isds,Israel,Iron and steel,69.693,119.484,"Iron or non-alloy steel: L sections, hot-rolled, hot-drawn or extruded, of a height of less than 80mm",721621,7216,72
2019,Marshall Isds,Israel,Iron and steel,54.079,91.216,"Iron or non-alloy steel: U sections, hot-rolled, hot-drawn or extruded, of a height of 80mm or more",721631,7216,72
2019,Marshall Isds,Israel,Iron and steel,36.66,60.376,"Iron or non-alloy steel: I sections, hot-rolled, hot-drawn or extruded, of a height of 80mm or more",721632,7216,72
2019,Marshall Isds,Israel,Iron and steel,16.722,19.291,"Iron or non-alloy steel: angles, shapes and sections, n.e.c. in heading no. 7216, hot-rolled, hot-drawn or extruded",721650,7216,72
2019,Marshall Isds,Rep. of Korea,Iron and steel,23.645,100.114,Ferrous waste and scrap: of cast iron,720410,7204,72
2019,Marshall Isds,Rep. of Korea,Iron and steel,27.714,159.801,Ferrous waste and scrap: n.e.c. in heading no. 7204,720449,7204,72
2019,Marshall Isds,Morocco,Iron and steel,0.358,1.52,Ferrous waste and scrap: of alloy steel (excluding stainless),720429,7204,72
2019,Marshall Isds,Namibia,Iron and steel,43.077,175.985,Ferrous waste and scrap: n.e.c. in heading no. 7204,720449,7204,72
2019,Marshall Isds,Portugal,Iron and steel,10.506,64.6,Ferrous waste and scrap: of alloy steel (excluding stainless),720429,7204,72
2019,Marshall Isds,South Africa,Iron and steel,0.199,1.206,Ferrous waste and scrap: of alloy steel (excluding stainless),720429,7204,72
2019,Marshall Isds,Spain,Iron and steel,0.198,10.0,Ferrous waste and scrap: n.e.c. in heading no. 7204,720449,7204,72
2019,Marshall Isds,USA,Iron and steel,982.214,4808.0,Ferrous waste and scrap: n.e.c. in heading no. 7204,720449,7204,72
2019,Palau,"Other Asia, nes",Iron and steel,199.856,1157.0,Ferrous waste and scrap: n.e.c. in heading no. 7204,720449,7204,72
2019,Papua New Guinea,Australia,Iron and steel,61.148,69.03,Ferrous waste and scrap: of stainless steel,720421,7204,72
2019,Papua New Guinea,Australia,Iron and steel,13.206,93.2,Ferrous waste and scrap: of alloy steel (excluding stainless),720429,7204,72
2019,Papua New Guinea,Australia,Iron and steel,10.481,14.06,"Iron or non-alloy steel: flat-rolled, of a width less than 600mm, electrolytically plated or coated with zinc",721220,7212,72
2019,Papua New Guinea,Fiji,Iron and steel,0.053,0.1,"Iron or non-alloy steel: bars and rods, n.e.c. in chapter 72, cold-formed or cold-finished, (not free-cutting)",721550,7215,72
2019,Papua New Guinea,Fiji,Iron and steel,0.038,0.009,"Iron or non-alloy steel: angles, shapes and sections, cold-formed or cold-finished, (not obtained from flat-rolled products)",721669,7216,72
2019,Papua New Guinea,Indonesia,Iron and steel,668.354,2275.585,Ferrous waste and scrap: n.e.c. in heading no. 7204,720449,7204,72
2019,Papua New Guinea,Malaysia,Iron and steel,408.349,2212.445,Ferrous waste and scrap: of cast iron,720410,7204,72
2019,Papua New Guinea,Malaysia,Iron and steel,660.859,2496.07,Ferrous waste and scrap: of alloy steel (excluding stainless),720429,7204,72
2019,Papua New Guinea,Malaysia,Iron and steel,46.185,254.019,Ferrous waste and scrap: of tinned iron or steel,720430,7204,72
2019,Papua New Guinea,Malaysia,Iron and steel,52.01,379.073,Ferrous waste and scrap: n.e.c. in heading no. 7204,720449,7204,72
2019,Papua New Guinea,Philippines,Iron and steel,203.965,137.915,"Iron or non-alloy steel: flat-rolled, width 600mm or more, plated or coated with tin, thickness of less than 0.5mm",721012,7210,72
2019,Papua New Guinea,India,Iron and steel,208.392,710.0,Ferrous waste and scrap: n.e.c. in heading no. 7204,720449,7204,72
2019,Papua New Guinea,India,Iron and steel,1.551,0.057,"Steel, stainless: flat-rolled, width less than 600mm, n.e.c. in heading no 7220",722090,7220,72
2019,Papua New Guinea,Singapore,Iron and steel,37.975,231.6,Ferrous waste and scrap: of cast iron,720410,7204,72
2019,Papua New Guinea,Singapore,Iron and steel,27.132,23.86,Ferrous waste and scrap: of stainless steel,720421,7204,72
2019,Papua New Guinea,Singapore,Iron and steel,11.716,43.34,Ferrous waste and scrap: of alloy steel (excluding stainless),720429,7204,72
2019,Papua New Guinea,Singapore,Iron and steel,604.522,2309.63,Ferrous waste and scrap: of tinned iron or steel,720430,7204,72
2019,Papua New Guinea,Singapore,Iron and steel,613.677,4394.11,Ferrous waste and scrap: n.e.c. in heading no. 7204,720449,7204,72
2019,Papua New Guinea,Switzerland,Iron and steel,5.579,1.225,"Iron or non-alloy steel: bars and rods, n.e.c. in chapter 72, n.e.c. in heading no. 7215",721590,7215,72
2019,Papua New Guinea,Thailand,Iron and steel,50.272,44.671,Ferrous waste and scrap: of stainless steel,720421,7204,72
2019,Tonga,Australia,Iron and steel,1.704,8.23,Ferrous waste and scrap: of stainless steel,720421,7204,72
2019,Tonga,Australia,Iron and steel,79.457,182.61,Ferrous waste and scrap: of alloy steel (excluding stainless),720429,7204,72
2019,Tonga,Australia,Iron and steel,11.043,57.6,Ferrous waste and scrap: n.e.c. in heading no. 7204,720449,7204,72
2019,Samoa,Australia,Iron and steel,2.569,2.36,Ferrous waste and scrap: of stainless steel,720421,7204,72
2019,Samoa,Australia,Iron and steel,76.347,337.36,Ferrous waste and scrap: of alloy steel (excluding stainless),720429,7204,72
2019,Samoa,Rep. of Korea,Iron and steel,384.051,1716.15,Ferrous waste and scrap: n.e.c. in heading no. 7204,720449,7204,72
2019,Samoa,New Zealand,Iron and steel,0.234,0.389,Ferrous waste and scrap: of stainless steel,720421,7204,72
2019,Samoa,New Zealand,Iron and steel,8.02,16.0,Ferrous waste and scrap: n.e.c. in heading no. 7204,720449,7204,72
2019,Solomon Isds,Brazil,Articles of iron or steel,0.337,0.005,Iron or steel: non-threaded spring washers and other lock washers,731821,7318,73
2019,Solomon Isds,Canada,Articles of iron or steel,0.099,0.011,"Iron or steel: non-threaded washers, excluding spring and lock",731822,7318,73
2019,Solomon Isds,Canada,Articles of iron or steel,0.007,,"Iron or steel: non-threaded articles, n.e.c. in item no. 7318.2",731829,7318,73
2019,Solomon Isds,Colombia,Articles of iron or steel,0.056,,"Iron or steel: tube or pipe fittings, threaded elbows, bends and sleeves, other than stainless steel",730792,7307,73
2019,Solomon Isds,Fiji,Articles of iron or steel,0.082,0.034,"Chain: articulated link, (other than roller), of iron or steel",731512,7315,73
2019,Solomon Isds,Fiji,Articles of iron or steel,0.245,0.034,"Iron or steel: anchors, grapnels and parts thereof",731600,7316,73
2019,Solomon Isds,Fiji,Articles of iron or steel,0.289,0.034,"Iron or steel: threaded screws, bolts and nuts n.e.c. in item no. 7318.1",731819,7318,73
2019,Solomon Isds,Fiji,Articles of iron or steel,0.329,0.033,"Steel, stainless: table, kitchen and other household articles and parts thereof",732393,7323,73
2019,Solomon Isds,Singapore,Articles of iron or steel,0.715,2.5,"Iron or steel: angles, shapes and sections, welded",730120,7301,73
2019,Solomon Isds,Singapore,Articles of iron or steel,0.205,0.011,Iron or steel: helical springs and leaves for springs,732020,7320,73
2019,Solomon Isds,Slovakia,Articles of iron or steel,14.16,12.007,"Steel, stainless: (excluding cold-drawn or cold-rolled), tubes pipes and hollow profiles of circular cross-section",730449,7304,73
2019,Solomon Isds,South Africa,Articles of iron or steel,0.073,0.003,"Iron or steel: threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",731815,7318,73
2019,Solomon Isds,Thailand,Articles of iron or steel,0.053,0.012,"Tanks, casks, drums, boxes and similar containers for any material (excluding compressed or liquefied gas) less than 50l capacity, n.e.c. in item no. 7310.2, of iron or steel",731029,7310,73
2019,Cook Isds,Belarus,Articles of iron or steel,0.2,0.002,"Iron or steel: non-threaded washers, excluding spring and lock",731822,7318,73
2019,Cook Isds,Belarus,Articles of iron or steel,0.1,0.004,Iron or steel: helical springs and leaves for springs,732020,7320,73
2019,Cook Isds,Belarus,Articles of iron or steel,0.694,0.006,Iron or steel: articles n.e.c. in heading 7326,732690,7326,73
2019,Cook Isds,Canada,Articles of iron or steel,0.001,,Iron or steel: threaded nuts,731816,7318,73
2019,Cook Isds,Canada,Articles of iron or steel,0.058,0.006,"Iron or steel: non-threaded washers, excluding spring and lock",731822,7318,73
2019,Cook Isds,Canada,Articles of iron or steel,0.004,0.001,"Steel, stainless: table, kitchen and other household articles and parts thereof",732393,7323,73
2019,Cook Isds,Canada,Articles of iron or steel,0.337,,Iron or steel: articles n.e.c. in heading 7326,732690,7326,73
2019,Cook Isds,Czechia,Articles of iron or steel,18.545,7.656,"Containers for compressed or liquefied gas, of iron or steel",731100,7311,73
2019,Cook Isds,Czechia,Articles of iron or steel,0.119,0.022,"Iron or steel: threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",731815,7318,73
2019,Cook Isds,Czechia,Articles of iron or steel,2.089,0.012,Iron or steel: articles n.e.c. in heading 7326,732690,7326,73
2019,Cook Isds,Indonesia,Articles of iron or steel,3.038,0.9,"Iron or steel: plaited bands, slings and the like, not electrically insulated",731290,7312,73
2019,Cook Isds,Luxembourg,Articles of iron or steel,0.004,,"Iron or steel: non-threaded washers, excluding spring and lock",731822,7318,73
2019,Cook Isds,Mauritius,Articles of iron or steel,12.959,3.0,"Iron or steel: structures and parts thereof, n.e.c. in heading 7308",730890,7308,73
2019,Cook Isds,Mauritius,Articles of iron or steel,0.565,1.2,"Iron or steel: stranded wire, ropes and cables, not electrically insulated",731210,7312,73
2019,Cook Isds,New Zealand,Articles of iron or steel,7.572,2.158,"Containers for compressed or liquefied gas, of iron or steel",731100,7311,73
2019,Cook Isds,Poland,Articles of iron or steel,0.004,,Iron or steel: non-threaded spring washers and other lock washers,731821,7318,73
2019,Cook Isds,Russian Federation,Articles of iron or steel,0.036,,"Iron or steel: threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",731815,7318,73
2019,Cook Isds,Singapore,Articles of iron or steel,1.172,0.15,"Steel, stainless: table, kitchen and other household articles and parts thereof",732393,7323,73
2019,Cook Isds,Slovenia,Articles of iron or steel,0.512,0.07,"Iron or steel: structures and parts thereof, n.e.c. in heading 7308",730890,7308,73
2019,Cook Isds,South Africa,Articles of iron or steel,0.003,,"Iron or steel: tube or pipe fittings, n.e.c. in item no. 7307.9, other than stainless steel",730799,7307,73
2019,Cook Isds,South Africa,Articles of iron or steel,5.534,3.0,"Iron or steel: stranded wire, ropes and cables, not electrically insulated",731210,7312,73
2019,Cook Isds,Spain,Articles of iron or steel,0.125,0.004,Iron or steel: articles n.e.c. in heading 7326,732690,7326,73
2019,Cook Isds,United Kingdom,Articles of iron or steel,1.941,0.02,Iron or steel: springs n.e.c. in heading no. 7320,732090,7320,73
2019,Fiji,American Samoa,Articles of iron or steel,25.04,21.27,"Iron or steel wire: grill, netting and fencing, welded at intersections, of wire with a maximum cross-sectional dimension of 3mm or more and mesh size 100cm2 or more",731420,7314,73
2019,Fiji,American Samoa,Articles of iron or steel,100.242,41.32,"Iron or steel wire: grill, netting and fencing, plated or coated with zinc",731441,7314,73
2019,Fiji,American Samoa,Articles of iron or steel,17.174,7.19,Iron or steel: expanded metal,731450,7314,73
2019,Fiji,American Samoa,Articles of iron or steel,32.288,15.012,"Iron or steel: nails, tacks, drawing pins, corrugated nails, staples (not those of heading no. 8305) and the like, with heads of other material or not, but excluding articles with heads of copper",731700,7317,73
2019,Fiji,American Samoa,Articles of iron or steel,5.098,0.36,"Iron or steel: threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",731815,7318,73
2019,Fiji,American Samoa,Articles of iron or steel,5.792,0.25,"Iron or steel: threaded screws, bolts and nuts n.e.c. in item no. 7318.1",731819,7318,73
2019,Fiji,American Samoa,Articles of iron or steel,0.247,0.035,"Cooking appliances and plate warmers: for gas fuel or for both gas and other fuels, of iron or steel",732111,7321,73
2019,Fiji,American Samoa,Articles of iron or steel,1.729,0.75,Iron or steel: articles n.e.c. in heading 7326,732690,7326,73
2019,Fiji,Australia,Articles of iron or steel,0.105,0.003,"Iron or steel (excluding cast iron): seamless, line pipe of a kind used for oil or gas pipelines, of stainless steel",730411,7304,73
2019,Fiji,Australia,Articles of iron or steel,7.994,0.78,"Iron or steel (excluding cast iron): seamless, tubes, pipes and hollow profiles, seamless, n.e.c. in heading no. 7304",730490,7304,73
2019,Fiji,Australia,Articles of iron or steel,2.182,0.205,"Iron or steel (excluding cast iron): tubes, pipes and hollow profiles (not seamless), n.e.c. in chapter 73",730690,7306,73
2019,Fiji,Australia,Articles of iron or steel,4.987,0.265,"Steel, stainless: tube or pipe fittings, n.e.c. in item no. 7307.2",730729,7307,73
2019,Fiji,Australia,Articles of iron or steel,0.108,0.015,"Iron or steel: tube or pipe fittings, threaded elbows, bends and sleeves, other than stainless steel",730792,7307,73
2019,Fiji,Australia,Articles of iron or steel,7.877,0.262,"Iron or steel: tube or pipe fittings, n.e.c. in item no. 7307.9, other than stainless steel",730799,7307,73
2019,Fiji,Australia,Articles of iron or steel,1.001,0.698,"Iron or steel: structures and parts thereof, doors, windows and their frames and thresholds for doors",730830,7308,73
2019,Fiji,Australia,Articles of iron or steel,116.498,0.36,"Iron or steel: structures and parts thereof, props and similar equipment for scaffolding, shuttering or pit-propping",730840,7308,73
2019,Fiji,Australia,Articles of iron or steel,44.616,3.912,"Iron or steel: structures and parts thereof, n.e.c. in heading 7308",730890,7308,73
2019,Fiji,Australia,Articles of iron or steel,118.322,266.968,"Reservoirs, tanks, vats and similar containers: for any material (excluding compressed or liquefied gas), of iron or steel, capacity exceeding 300l, whether or not lined or heat insulated",730900,7309,73
2019,Fiji,Australia,Articles of iron or steel,23.588,1.47,"Tanks, casks, drums, cans, boxes and similar containers, for any material (excluding compressed or liquefied gas), 50l or more capacity but not exceeding 300l",731010,7310,73
2019,Fiji,Australia,Articles of iron or steel,367.617,370.573,"Tanks, casks, drums, boxes and similar containers for any material (excluding compressed or liquefied gas) less than 50l capacity, n.e.c. in item no. 7310.2, of iron or steel",731029,7310,73
2019,Fiji,Australia,Articles of iron or steel,195.19,91.993,"Containers for compressed or liquefied gas, of iron or steel",731100,7311,73
2019,Fiji,Australia,Articles of iron or steel,0.926,4.375,"Iron or steel: stranded wire, ropes and cables, not electrically insulated",731210,7312,73
2019,Fiji,Australia,Articles of iron or steel,0.515,0.085,"Iron or steel: plaited bands, slings and the like, not electrically insulated",731290,7312,73
2019,Fiji,Australia,Articles of iron or steel,0.654,0.205,"Iron or steel wire: grill, netting and fencing, welded at intersections, of wire with a maximum cross-sectional dimension of 3mm or more and mesh size 100cm2 or more",731420,7314,73
2019,Fiji,Australia,Articles of iron or steel,0.077,0.063,"Iron or steel wire: grill, netting and fencing, welded at the intersection, n.e.c. in item no. 7314.20, (other than plated or coated with zinc)",731439,7314,73
2019,Fiji,Australia,Articles of iron or steel,0.108,0.032,"Chain: articulated link, (other than roller), of iron or steel",731512,7315,73
2019,Fiji,Australia,Articles of iron or steel,0.028,0.01,"Chain: n.e.c. in heading no. 7315, of iron or steel",731589,7315,73
2019,Fiji,Australia,Articles of iron or steel,0.049,0.207,"Iron or steel: nails, tacks, drawing pins, corrugated nails, staples (not those of heading no. 8305) and the like, with heads of other material or not, but excluding articles with heads of copper",731700,7317,73
2019,Fiji,Australia,Articles of iron or steel,2.139,0.298,"Iron or steel: threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",731815,7318,73
2019,Fiji,Australia,Articles of iron or steel,0.145,0.02,Iron or steel: threaded nuts,731816,7318,73
2019,Fiji,Australia,Articles of iron or steel,0.213,1.723,"Iron or steel: threaded screws, bolts and nuts n.e.c. in item no. 7318.1",731819,7318,73
2019,Fiji,Australia,Articles of iron or steel,0.065,0.005,Iron or steel: non-threaded rivets,731823,7318,73
2019,Fiji,Australia,Articles of iron or steel,0.011,0.02,Iron or steel: non-threaded cotters and cotter-pins,731824,7318,73
2019,Fiji,Australia,Articles of iron or steel,1.298,0.045,"Iron or steel: non-threaded articles, n.e.c. in item no. 7318.2",731829,7318,73
2019,Fiji,Australia,Articles of iron or steel,0.202,0.21,"Sewing and knitting needles, bodkins, crochet hooks, embroidery stilettos and similar articles, for use in the hand, not elsewhere specified or included, of iron or steel",731990,7319,73
2019,Fiji,Australia,Articles of iron or steel,0.125,0.017,"Cooking appliances and plate warmers: for gas fuel or for both gas and other fuels, of iron or steel",732111,7321,73
2019,Fiji,Australia,Articles of iron or steel,0.054,,"Cooking appliances and plate warmers: for liquid fuel, of iron or steel",732112,7321,73
2019,Fiji,Australia,Articles of iron or steel,1.438,0.26,"Iron or steel: wool, pot scourers and scouring or polishing pads, gloves and the like",732310,7323,73
2019,Fiji,Australia,Articles of iron or steel,9.246,1.177,"Steel, stainless: table, kitchen and other household articles and parts thereof",732393,7323,73
2019,Fiji,Australia,Articles of iron or steel,0.326,0.268,"Iron (excluding cast) or steel: table, kitchen and other household articles and parts thereof, enamelled",732394,7323,73
2019,Fiji,Australia,Articles of iron or steel,2.913,0.089,"Iron or steel: table, kitchen and other household articles and parts thereof, of iron or steel n.e.c. in heading no. 7323",732399,7323,73
2019,Fiji,Australia,Articles of iron or steel,1.786,0.064,"Steel: sinks and wash basins, of stainless steel",732410,7324,73
2019,Fiji,Australia,Articles of iron or steel,0.141,0.268,Iron (other than cast) or steel: baths,732429,7324,73
2019,Fiji,Australia,Articles of iron or steel,1.961,0.01,"Iron or steel: articles n.e.c. in item no. 7326.11, forged or stamped, but not further worked",732619,7326,73
2019,Fiji,Australia,Articles of iron or steel,21.252,0.917,Iron or steel: articles n.e.c. in heading 7326,732690,7326,73
2019,Fiji,Armenia,Articles of iron or steel,0.014,,"Iron or steel: threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",731815,7318,73
2019,Fiji,Solomon Isds,Articles of iron or steel,0.65,0.35,"Iron or steel: tube or pipe fittings, n.e.c. in item no. 7307.9, other than stainless steel",730799,7307,73
2019,Fiji,Solomon Isds,Articles of iron or steel,6.391,0.56,"Reservoirs, tanks, vats and similar containers: for any material (excluding compressed or liquefied gas), of iron or steel, capacity exceeding 300l, whether or not lined or heat insulated",730900,7309,73
2019,Fiji,Solomon Isds,Articles of iron or steel,1.766,0.333,"Tanks, casks, drums, boxes and similar containers for any material (excluding compressed or liquefied gas) less than 50l capacity, n.e.c. in item no. 7310.2, of iron or steel",731029,7310,73
2019,Fiji,Solomon Isds,Articles of iron or steel,3.359,1.43,"Iron or steel wire: grill, netting and fencing, welded at intersections, of wire with a maximum cross-sectional dimension of 3mm or more and mesh size 100cm2 or more",731420,7314,73
2019,Fiji,Solomon Isds,Articles of iron or steel,0.924,0.1,"Iron or steel wire: grill, netting and fencing, welded at the intersection, n.e.c. in item no. 7314.20, (other than plated or coated with zinc)",731439,7314,73
2019,Fiji,Solomon Isds,Articles of iron or steel,8.925,5.825,"Iron or steel: nails, tacks, drawing pins, corrugated nails, staples (not those of heading no. 8305) and the like, with heads of other material or not, but excluding articles with heads of copper",731700,7317,73
2019,Fiji,Solomon Isds,Articles of iron or steel,4.905,0.25,Iron or steel: threaded wood screws other than coach screws,731812,7318,73
2019,Fiji,Solomon Isds,Articles of iron or steel,0.244,0.01,Iron or steel: threaded screw hooks and screw rings,731813,7318,73
2019,Fiji,Solomon Isds,Articles of iron or steel,2.027,1.278,"Iron or steel: threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers",731815,7318,73
2019,Fiji,Solomon Isds,Articles of iron or steel,0.034,0.013,Iron or steel: threaded nuts,731816,7318,73
2019,Fiji,Solomon Isds,Articles of iron or steel,1.888,0.269,"Cooking appliances and plate warmers: for gas fuel or for both gas and other fuels, of iron or steel",732111,7321,73
2019,Fiji,Solomon Isds,Articles of iron or steel,0.094,,"Cooking appliances and plate warmers: for liquid fuel, of iron or steel",732112,7321,73
2019,Fiji,Solomon Isds,Articles of iron or steel,2.294,0.33,"Domestic appliances: non-electric, parts thereof, of iron or steel",732190,7321,73
2019,Fiji,Solomon Isds,Articles of iron or steel,3.15,0.054,"Radiators and parts thereof: for central heating, (not electrically heated), of iron or steel other than cast iron",732219,7322,73
2019,Fiji,Solomon Isds,Articles of iron or steel,9.564,4.526,Iron or steel: articles n.e.c. in heading 7326,732690,7326,73
2019,Fiji,Canada,Articles of iron or steel,0.748,,Iron or steel: articles n.e.c. in heading 7326,732690,7326,73
2019,Fiji,Chile,Articles of iron or steel,1.592,,Iron or steel: helical springs and leaves for springs,732020,7320,73
2019,Fiji,China,Articles of iron or steel,5.557,0.833,"Iron or non-alloy steel (excluding cast iron): seamless, cold-drawn or cold-rolled, tubes, pipes and hollow profiles of circular cross-section",730431,7304,73
2019,Fiji,China,Articles of iron or steel,2.174,2.014,"Iron or steel (excluding cast iron): seamless, tubes, pipes and hollow profiles, seamless, n.e.c. in heading no. 7304",730490,7304,73
2019,Fiji,China,Articles of iron or steel,8.321,0.833,"Iron or steel: tube or pipe fittings, threaded elbows, bends and sleeves, other than stainless steel",730792,7307,73
2019,Fiji,China,Articles of iron or steel,3.475,13.55,"Reservoirs, tanks, vats and similar containers: for any material (excluding compressed or liquefied gas), of iron or steel, capacity exceeding 300l, whether or not lined or heat insulated",730900,7309,73
2019,Fiji,China,Articles of iron or steel,1.077,0.189,"Iron or steel: stranded wire, ropes and cables, not electrically insulated",731210,7312,73
2019,Fiji,China,Articles of iron or steel,3.134,2.009,"Iron or steel wire: grill, netting and fencing, coated with plastic",731442,7314,73
2019,Fiji,China,Articles of iron or steel,0.752,0.61,"Iron or steel: nails, tacks, drawing pins, corrugated nails, staples (not those of heading no. 8305) and the like, with heads of other material or not, but excluding articles with heads of copper",731700,7317,73
2019,Fiji,Christmas Isds,Articles of iron or steel,0.027,0.008,"Cast iron: tubes, pipes and hollow profiles",730300,7303,73
2019,Fiji,Christmas Isds,Articles of iron or steel,1.468,3.813,"Iron or steel (excluding cast iron): seamless, line pipe of a kind used for oil or gas pipelines, of stainless steel",730411,7304,73
2019,Fiji,Christmas Isds,Articles of iron or steel,0.004,0.001,"Steel: stainless: line pipe of a kind used for oil or gas pipelines n.e.c. in chapter 73, welded, (not seamless)",730611,7306,73
2019,Fiji,Christmas Isds,Articles of iron or steel,1.172,0.112,"Iron or steel (excluding cast iron): tubes, pipes and hollow profiles (not seamless), n.e.c. in chapter 73",730690,7306,73
2019,Fiji,Christmas Isds,Articles of iron or steel,3.194,0.295,"Iron or steel: structures and parts thereof, doors, windows and their frames and thresholds for doors",730830,7308,73
2019,Fiji,Christmas Isds,Articles of iron or steel,163.461,345.731,"Iron or steel: structures and parts thereof, n.e.c. in heading 7308",730890,7308,73
2019,Fiji,Christmas Isds,Articles of iron or steel,0.097,0.06,"Reservoirs, tanks, vats and similar containers: for any material (excluding compressed or liquefied gas), of iron or steel, capacity exceeding 300l, whether or not lined or heat insulated",730900,7309,73
2019,Fiji,Christmas Isds,Articles of iron or steel,0.676,0.439,"Iron or steel: stranded wire, ropes and cables, not electrically insulated",731210,7312,73
2019,Fiji,Christmas Isds,Articles of iron or steel,0.006,0.005,"Iron or steel: plaited bands, slings and the like, not electrically insulated",731290,7312,73
2019,Fiji,Christmas Isds,Articles of iron or steel,2.487,2.135,"Iron or steel wire: grill, netting and fencing, welded at intersections, of wire with a maximum cross-sectional dimension of 3mm or more and mesh size 100cm2 or more",731420,7314,73
