Category,Value of the trade flow (thousands current USD),Quantity (in metric tons)
"Oil, metals and mineral products",9465374.31100001,13048466.932000004
Seafood products,1226716.7059999995,529708.5140000005
Wood products,1187513.0190000008,5679367.930000003
Total,11879604.036000011,19257543.37600001
