Year,Exporting country,Importing country,Product category,hs4,hs2,Value of the trade flow (thousands current USD),Quantity (in metric tons),Category,code,description
2019,Solomon Isds,Australia,271000,2710,27,0.937,0.016,"Oil, metals and mineral products",271000,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils"
2019,Solomon Isds,Australia,710811,7108,71,2229.055,0.054,"Oil, metals and mineral products",710811,"Metals: gold, non-monetary, powder"
2019,Solomon Isds,Australia,711411,7114,71,1.805,0.002,"Oil, metals and mineral products",711411,"Silversmiths' wares: and parts thereof, of silver, whether or not plated or clad with other precious metal"
2019,Solomon Isds,Australia,711810,7118,71,22.31,0.033,"Oil, metals and mineral products",711810,"Coin (other than gold coin), not being legal tender"
2019,Solomon Isds,Australia,720429,7204,72,16.926,42.27,"Oil, metals and mineral products",720429,Ferrous waste and scrap: of alloy steel (excluding stainless)
2019,Solomon Isds,Australia,720449,7204,72,10.968,3334.04,"Oil, metals and mineral products",720449,Ferrous waste and scrap: n.e.c. in heading no. 7204
2019,Solomon Isds,Australia,760200,7602,76,78.218,112.91,"Oil, metals and mineral products",760200,Aluminium: waste and scrap
2019,Solomon Isds,Bosnia Herzegovina,820559,8205,82,0.08,0.007,"Oil, metals and mineral products",820559,"Tools, hand: other hand tools (including glaziers diamonds), excluding household tools, drilling, threading or tapping tools, hammers and sledge hammers, planes, chisels, gouges and similar cutting tools for working wood, and screwdrivers"
2019,Solomon Isds,Brazil,731821,7318,73,0.337,0.005,"Oil, metals and mineral products",731821,Iron or steel: non-threaded spring washers and other lock washers
2019,Solomon Isds,Canada,722691,7226,72,2.154,1.359,"Oil, metals and mineral products",722691,"Steel, alloy: flat-rolled, width less than 600mm, (excluding silicon-electrical or high speed steel), hot-rolled"
2019,Solomon Isds,Canada,731822,7318,73,0.099,0.011,"Oil, metals and mineral products",731822,"Iron or steel: non-threaded washers, excluding spring and lock"
2019,Solomon Isds,Canada,731829,7318,73,0.007,,"Oil, metals and mineral products",731829,"Iron or steel: non-threaded articles, n.e.c. in item no. 7318.2"
2019,Solomon Isds,Canada,820210,8202,82,0.107,,"Oil, metals and mineral products",820210,"Tools, hand: hand saws"
2019,Solomon Isds,Canada,820220,8202,82,0.207,,"Oil, metals and mineral products",820220,"Tools, hand: band saw blades"
2019,Solomon Isds,Canada,830249,8302,83,0.003,,"Oil, metals and mineral products",830249,"Mountings, fittings and similar articles: suitable for other than buildings or furniture, of base metal"
2019,Solomon Isds,China,260600,2606,26,51770.196,1187753.8,"Oil, metals and mineral products",260600,Aluminium ores and concentrates
2019,Solomon Isds,Colombia,730792,7307,73,0.056,,"Oil, metals and mineral products",730792,"Iron or steel: tube or pipe fittings, threaded elbows, bends and sleeves, other than stainless steel"
2019,Solomon Isds,Fiji,731512,7315,73,0.082,0.034,"Oil, metals and mineral products",731512,"Chain: articulated link, (other than roller), of iron or steel"
2019,Solomon Isds,Fiji,731600,7316,73,0.245,0.034,"Oil, metals and mineral products",731600,"Iron or steel: anchors, grapnels and parts thereof"
2019,Solomon Isds,Fiji,731819,7318,73,0.289,0.034,"Oil, metals and mineral products",731819,"Iron or steel: threaded screws, bolts and nuts n.e.c. in item no. 7318.1"
2019,Solomon Isds,Fiji,732393,7323,73,0.329,0.033,"Oil, metals and mineral products",732393,"Steel, stainless: table, kitchen and other household articles and parts thereof"
2019,Solomon Isds,Fiji,821192,8211,82,0.064,0.002,"Oil, metals and mineral products",821192,"Knives: having fixed cutting blades, (other than table knives), serrated or not, excluding knives and blades of heading no. 8208"
2019,Solomon Isds,France,711419,7114,71,0.687,0.031,"Oil, metals and mineral products",711419,"Goldsmiths' wares: articles of and parts thereof, of precious metal (excluding silver) whether or not plated or clad with precious metal"
2019,Solomon Isds,France,711810,7118,71,387.592,3.152,"Oil, metals and mineral products",711810,"Coin (other than gold coin), not being legal tender"
2019,Solomon Isds,France,761699,7616,76,1.668,0.174,"Oil, metals and mineral products",761699,Aluminium: articles n.e.c. in heading 7616
2019,Solomon Isds,France,830629,8306,83,0.165,0.003,"Oil, metals and mineral products",830629,Statuettes and other ornaments: of base metal other than plated with precious metal
2019,Solomon Isds,"China, Hong Kong SAR",760200,7602,76,173.564,204.208,"Oil, metals and mineral products",760200,Aluminium: waste and scrap
2019,Solomon Isds,Rep. of Korea,820510,8205,82,13.731,19.5,"Oil, metals and mineral products",820510,"Tools, hand: drilling, threading or tapping tools"
2019,Solomon Isds,Malaysia,720410,7204,72,161.701,550.155,"Oil, metals and mineral products",720410,Ferrous waste and scrap: of cast iron
2019,Solomon Isds,Malaysia,740400,7404,74,13.262,19.8,"Oil, metals and mineral products",740400,Copper: waste and scrap
2019,Solomon Isds,Malaysia,760200,7602,76,114.178,76.128,"Oil, metals and mineral products",760200,Aluminium: waste and scrap
2019,Solomon Isds,"Other Asia, nes",711411,7114,71,3.139,0.005,"Oil, metals and mineral products",711411,"Silversmiths' wares: and parts thereof, of silver, whether or not plated or clad with other precious metal"
2019,Solomon Isds,"Other Asia, nes",711790,7117,71,0.097,0.001,"Oil, metals and mineral products",711790,"Jewellery: imitation, of other than base metal, whether or not plated with precious metal"
2019,Solomon Isds,"Other Asia, nes",821193,8211,82,0.032,0.001,"Oil, metals and mineral products",821193,"Knives: with cutting blades, (having other than fixed blades), serrated or not, excluding knives and blades of heading no. 8208"
2019,Solomon Isds,Netherlands,820559,8205,82,0.324,0.007,"Oil, metals and mineral products",820559,"Tools, hand: other hand tools (including glaziers diamonds), excluding household tools, drilling, threading or tapping tools, hammers and sledge hammers, planes, chisels, gouges and similar cutting tools for working wood, and screwdrivers"
2019,Solomon Isds,New Zealand,820890,8208,82,2.735,0.055,"Oil, metals and mineral products",820890,"Tools: knives and cutting blades, for machines or mechanical appliances, n.e.c. in heading no. 8208"
2019,Solomon Isds,India,260600,2606,26,2073.459,46279.0,"Oil, metals and mineral products",260600,Aluminium ores and concentrates
2019,Solomon Isds,Singapore,730120,7301,73,0.715,2.5,"Oil, metals and mineral products",730120,"Iron or steel: angles, shapes and sections, welded"
2019,Solomon Isds,Singapore,732020,7320,73,0.205,0.011,"Oil, metals and mineral products",732020,Iron or steel: helical springs and leaves for springs
2019,Solomon Isds,Slovakia,730449,7304,73,14.16,12.007,"Oil, metals and mineral products",730449,"Steel, stainless: (excluding cold-drawn or cold-rolled), tubes pipes and hollow profiles of circular cross-section"
2019,Solomon Isds,Slovenia,711810,7118,71,0.052,,"Oil, metals and mineral products",711810,"Coin (other than gold coin), not being legal tender"
2019,Solomon Isds,South Africa,731815,7318,73,0.073,0.003,"Oil, metals and mineral products",731815,"Iron or steel: threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers"
2019,Solomon Isds,South Africa,820559,8205,82,2.376,0.109,"Oil, metals and mineral products",820559,"Tools, hand: other hand tools (including glaziers diamonds), excluding household tools, drilling, threading or tapping tools, hammers and sledge hammers, planes, chisels, gouges and similar cutting tools for working wood, and screwdrivers"
2019,Solomon Isds,Switzerland,720852,7208,72,5.975,9.6,"Oil, metals and mineral products",720852,"Iron or non-alloy steel: (not in coils), flat-rolled, of a width 600mm or more, hot-rolled, without patterns in relief, of a thickness of 4.75mm or more but not exceeding 10mm"
2019,Solomon Isds,Switzerland,720853,7208,72,1.91,3.072,"Oil, metals and mineral products",720853,"Iron or non-alloy steel: (not in coils), flat-rolled, of a width 600mm or more, hot-rolled, without patterns in relief, of a thickness of 3mm or more but less than 4.75mm"
2019,Solomon Isds,Switzerland,820320,8203,82,0.272,0.012,"Oil, metals and mineral products",820320,"Tools, hand: pliers (including cutting pliers), pincers, tweezers and similar tools"
2019,Solomon Isds,Switzerland,820340,8203,82,0.093,0.004,"Oil, metals and mineral products",820340,"Tools, hand: pipe-cutters, bolt croppers, perforating punches and similar tools"
2019,Solomon Isds,Switzerland,820510,8205,82,0.121,0.006,"Oil, metals and mineral products",820510,"Tools, hand: drilling, threading or tapping tools"
2019,Solomon Isds,Switzerland,820559,8205,82,0.03,0.001,"Oil, metals and mineral products",820559,"Tools, hand: other hand tools (including glaziers diamonds), excluding household tools, drilling, threading or tapping tools, hammers and sledge hammers, planes, chisels, gouges and similar cutting tools for working wood, and screwdrivers"
2019,Solomon Isds,Thailand,711810,7118,71,3.262,0.004,"Oil, metals and mineral products",711810,"Coin (other than gold coin), not being legal tender"
2019,Solomon Isds,Thailand,731029,7310,73,0.053,0.012,"Oil, metals and mineral products",731029,"Tanks, casks, drums, boxes and similar containers for any material (excluding compressed or liquefied gas) less than 50l capacity, n.e.c. in item no. 7310.2, of iron or steel"
2019,Solomon Isds,USA,761699,7616,76,6.344,0.008,"Oil, metals and mineral products",761699,Aluminium: articles n.e.c. in heading 7616
2019,Cook Isds,Austria,271000,2710,27,1.07,0.931,"Oil, metals and mineral products",271000,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils"
2019,Cook Isds,Austria,711620,7116,71,0.577,0.002,"Oil, metals and mineral products",711620,"Stones: precious or semi-precious stones (natural, synthetic or reconstructed) articles of"
2019,Cook Isds,Belarus,731822,7318,73,0.2,0.002,"Oil, metals and mineral products",731822,"Iron or steel: non-threaded washers, excluding spring and lock"
2019,Cook Isds,Belarus,732020,7320,73,0.1,0.004,"Oil, metals and mineral products",732020,Iron or steel: helical springs and leaves for springs
2019,Cook Isds,Belarus,732690,7326,73,0.694,0.006,"Oil, metals and mineral products",732690,Iron or steel: articles n.e.c. in heading 7326
2019,Cook Isds,Canada,731816,7318,73,0.001,,"Oil, metals and mineral products",731816,Iron or steel: threaded nuts
2019,Cook Isds,Canada,731822,7318,73,0.058,0.006,"Oil, metals and mineral products",731822,"Iron or steel: non-threaded washers, excluding spring and lock"
2019,Cook Isds,Canada,732393,7323,73,0.004,0.001,"Oil, metals and mineral products",732393,"Steel, stainless: table, kitchen and other household articles and parts thereof"
2019,Cook Isds,Canada,732690,7326,73,0.337,,"Oil, metals and mineral products",732690,Iron or steel: articles n.e.c. in heading 7326
2019,Cook Isds,Canada,761699,7616,76,0.627,0.034,"Oil, metals and mineral products",761699,Aluminium: articles n.e.c. in heading 7616
2019,Cook Isds,Canada,830210,8302,83,0.116,,"Oil, metals and mineral products",830210,"Hinges: suitable for furniture, doors, staircases, windows, blinds, coachwork, saddlery, trunks, chests, caskets or the like, of base metal"
2019,Cook Isds,Canada,830710,8307,83,0.431,0.002,"Oil, metals and mineral products",830710,"Tubing: flexible, with or without fittings, of iron or steel"
2019,Cook Isds,Chile,711719,7117,71,0.233,0.008,"Oil, metals and mineral products",711719,"Jewellery: imitation, (excluding cuff links and studs), of base metal, whether or not plated with precious metal"
2019,Cook Isds,Colombia,831120,8311,83,31.36,7.495,"Oil, metals and mineral products",831120,"Wire: cored, of base metal, for electric arc-welding"
2019,Cook Isds,Czechia,711590,7115,71,178.006,0.006,"Oil, metals and mineral products",711590,"Metal: precious or metal clad with precious metal, other than that of item no. 7115.10"
2019,Cook Isds,Czechia,711810,7118,71,11.863,0.007,"Oil, metals and mineral products",711810,"Coin (other than gold coin), not being legal tender"
2019,Cook Isds,Czechia,731100,7311,73,18.545,7.656,"Oil, metals and mineral products",731100,"Containers for compressed or liquefied gas, of iron or steel"
2019,Cook Isds,Czechia,731815,7318,73,0.119,0.022,"Oil, metals and mineral products",731815,"Iron or steel: threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers"
2019,Cook Isds,Czechia,732690,7326,73,2.089,0.012,"Oil, metals and mineral products",732690,Iron or steel: articles n.e.c. in heading 7326
2019,Cook Isds,Fiji,830250,8302,83,0.25,0.002,"Oil, metals and mineral products",830250,"Hat-racks, hat-pegs, brackets and similar fixtures, of base metal"
2019,Cook Isds,France,711810,7118,71,0.796,0.003,"Oil, metals and mineral products",711810,"Coin (other than gold coin), not being legal tender"
2019,Cook Isds,Germany,710813,7108,71,35.114,0.001,"Oil, metals and mineral products",710813,"Metals: gold, semi-manufactured"
2019,Cook Isds,Germany,711810,7118,71,0.479,0.001,"Oil, metals and mineral products",711810,"Coin (other than gold coin), not being legal tender"
2019,Cook Isds,Indonesia,731290,7312,73,3.038,0.9,"Oil, metals and mineral products",731290,"Iron or steel: plaited bands, slings and the like, not electrically insulated"
2019,Cook Isds,Luxembourg,731822,7318,73,0.004,,"Oil, metals and mineral products",731822,"Iron or steel: non-threaded washers, excluding spring and lock"
2019,Cook Isds,Mauritius,271000,2710,27,0.298,0.2,"Oil, metals and mineral products",271000,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils"
2019,Cook Isds,Mauritius,730890,7308,73,12.959,3.0,"Oil, metals and mineral products",730890,"Iron or steel: structures and parts thereof, n.e.c. in heading 7308"
2019,Cook Isds,Mauritius,731210,7312,73,0.565,1.2,"Oil, metals and mineral products",731210,"Iron or steel: stranded wire, ropes and cables, not electrically insulated"
2019,Cook Isds,Mauritius,820590,8205,82,2.7,0.15,"Oil, metals and mineral products",820590,"Tools, hand: n.e.c. in heading 8205, including anvils, portable forges, hand or pedal-operated grinding wheels with frameworks, and sets of articles of two or more of the subheadings in heading 8205"
2019,Cook Isds,"Other Asia, nes",711411,7114,71,0.323,,"Oil, metals and mineral products",711411,"Silversmiths' wares: and parts thereof, of silver, whether or not plated or clad with other precious metal"
2019,Cook Isds,New Zealand,710110,7101,71,7.602,,"Oil, metals and mineral products",710110,"Pearls: natural, whether or not worked or graded (but not strung, mounted or set), temporarily strung for the convenience of transport"
2019,Cook Isds,New Zealand,710122,7101,71,11.687,0.001,"Oil, metals and mineral products",710122,"Pearls: cultured, worked, whether or not graded (but not strung, mounted or set), temporarily strung for the convenience of transport"
2019,Cook Isds,New Zealand,711319,7113,71,5.578,,"Oil, metals and mineral products",711319,"Jewellery: of precious metal (excluding silver) whether or not plated or clad with precious metal, and parts thereof"
2019,Cook Isds,New Zealand,720429,7204,72,64.707,493.0,"Oil, metals and mineral products",720429,Ferrous waste and scrap: of alloy steel (excluding stainless)
2019,Cook Isds,New Zealand,731100,7311,73,7.572,2.158,"Oil, metals and mineral products",731100,"Containers for compressed or liquefied gas, of iron or steel"
2019,Cook Isds,New Zealand,760200,7602,76,4.39,14.0,"Oil, metals and mineral products",760200,Aluminium: waste and scrap
2019,Cook Isds,New Zealand,820412,8204,82,0.665,0.047,"Oil, metals and mineral products",820412,"Tools, hand: hand-operated spanners and wrenches (including torque meter wrenches but not including tap wrenches), adjustable"
2019,Cook Isds,Poland,711810,7118,71,1.47,,"Oil, metals and mineral products",711810,"Coin (other than gold coin), not being legal tender"
2019,Cook Isds,Poland,731821,7318,73,0.004,,"Oil, metals and mineral products",731821,Iron or steel: non-threaded spring washers and other lock washers
2019,Cook Isds,Portugal,271390,2713,27,0.029,7.18,"Oil, metals and mineral products",271390,Residues: of petroleum oils or of oils obtained from bituminous minerals
2019,Cook Isds,Russian Federation,731815,7318,73,0.036,,"Oil, metals and mineral products",731815,"Iron or steel: threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers"
2019,Cook Isds,Singapore,711319,7113,71,0.389,,"Oil, metals and mineral products",711319,"Jewellery: of precious metal (excluding silver) whether or not plated or clad with precious metal, and parts thereof"
2019,Cook Isds,Singapore,732393,7323,73,1.172,0.15,"Oil, metals and mineral products",732393,"Steel, stainless: table, kitchen and other household articles and parts thereof"
2019,Cook Isds,Singapore,761699,7616,76,0.886,0.076,"Oil, metals and mineral products",761699,Aluminium: articles n.e.c. in heading 7616
2019,Cook Isds,Singapore,821300,8213,82,0.483,0.024,"Oil, metals and mineral products",821300,"Scissors: tailors' shears, similar shears and blades therefore"
2019,Cook Isds,Singapore,830400,8304,83,1.082,0.191,"Oil, metals and mineral products",830400,"Office equipment: filing cabinets, card-index cabinets, paper trays, paper rests, pen trays, office-stamp stands and similar office or desk equipment, of base metal, other than office furniture of heading no. 9403"
2019,Cook Isds,Slovakia,711810,7118,71,333.626,0.011,"Oil, metals and mineral products",711810,"Coin (other than gold coin), not being legal tender"
2019,Cook Isds,Slovenia,711810,7118,71,0.363,,"Oil, metals and mineral products",711810,"Coin (other than gold coin), not being legal tender"
2019,Cook Isds,Slovenia,730890,7308,73,0.512,0.07,"Oil, metals and mineral products",730890,"Iron or steel: structures and parts thereof, n.e.c. in heading 7308"
2019,Cook Isds,South Africa,730799,7307,73,0.003,,"Oil, metals and mineral products",730799,"Iron or steel: tube or pipe fittings, n.e.c. in item no. 7307.9, other than stainless steel"
2019,Cook Isds,South Africa,731210,7312,73,5.534,3.0,"Oil, metals and mineral products",731210,"Iron or steel: stranded wire, ropes and cables, not electrically insulated"
2019,Cook Isds,Spain,732690,7326,73,0.125,0.004,"Oil, metals and mineral products",732690,Iron or steel: articles n.e.c. in heading 7326
2019,Cook Isds,Thailand,710122,7101,71,0.415,,"Oil, metals and mineral products",710122,"Pearls: cultured, worked, whether or not graded (but not strung, mounted or set), temporarily strung for the convenience of transport"
2019,Cook Isds,Thailand,711291,7112,71,1970.63,0.039,"Oil, metals and mineral products",711291,"Waste and scrap of precious metals: of gold, including metal clad with gold but excluding sweepings containing other precious metals"
2019,Cook Isds,United Kingdom,732090,7320,73,1.941,0.02,"Oil, metals and mineral products",732090,Iron or steel: springs n.e.c. in heading no. 7320
2019,Cook Isds,USA,711320,7113,71,2.495,0.001,"Oil, metals and mineral products",711320,"Jewellery: of base metal clad with precious metal, and parts thereof"
2019,Fiji,American Samoa,271000,2710,27,491.569,958.772,"Oil, metals and mineral products",271000,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils"
2019,Fiji,American Samoa,271490,2714,27,426.916,521.82,"Oil, metals and mineral products",271490,"Bitumen and asphalt, natural: asphaltites and asphaltic rock"
2019,Fiji,American Samoa,721020,7210,72,2.369,1.04,"Oil, metals and mineral products",721020,"Iron or non-alloy steel: flat-rolled, width 600mm or more, plated or coated with lead, including terne-plate"
2019,Fiji,American Samoa,721041,7210,72,215.153,207.04,"Oil, metals and mineral products",721041,"Iron or non-alloy steel: flat-rolled, width 600mm or more, corrugated, plated or coated with zinc (not electrolytically)"
2019,Fiji,American Samoa,721090,7210,72,1.85,0.45,"Oil, metals and mineral products",721090,"Iron or non-alloy steel: flat-rolled, width 600mm or more, plated or coated with materials n.e.c. in heading no. 7210"
2019,Fiji,American Samoa,721220,7212,72,5.564,4.0,"Oil, metals and mineral products",721220,"Iron or non-alloy steel: flat-rolled, of a width less than 600mm, electrolytically plated or coated with zinc"
2019,Fiji,American Samoa,731420,7314,73,25.04,21.27,"Oil, metals and mineral products",731420,"Iron or steel wire: grill, netting and fencing, welded at intersections, of wire with a maximum cross-sectional dimension of 3mm or more and mesh size 100cm2 or more"
2019,Fiji,American Samoa,731441,7314,73,100.242,41.32,"Oil, metals and mineral products",731441,"Iron or steel wire: grill, netting and fencing, plated or coated with zinc"
2019,Fiji,American Samoa,731450,7314,73,17.174,7.19,"Oil, metals and mineral products",731450,Iron or steel: expanded metal
2019,Fiji,American Samoa,731700,7317,73,32.288,15.012,"Oil, metals and mineral products",731700,"Iron or steel: nails, tacks, drawing pins, corrugated nails, staples (not those of heading no. 8305) and the like, with heads of other material or not, but excluding articles with heads of copper"
2019,Fiji,American Samoa,731815,7318,73,5.098,0.36,"Oil, metals and mineral products",731815,"Iron or steel: threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers"
2019,Fiji,American Samoa,731819,7318,73,5.792,0.25,"Oil, metals and mineral products",731819,"Iron or steel: threaded screws, bolts and nuts n.e.c. in item no. 7318.1"
2019,Fiji,American Samoa,732111,7321,73,0.247,0.035,"Oil, metals and mineral products",732111,"Cooking appliances and plate warmers: for gas fuel or for both gas and other fuels, of iron or steel"
2019,Fiji,American Samoa,732690,7326,73,1.729,0.75,"Oil, metals and mineral products",732690,Iron or steel: articles n.e.c. in heading 7326
2019,Fiji,American Samoa,741999,7419,74,0.899,0.07,"Oil, metals and mineral products",741999,Copper: articles n.e.c. in heading no. 7419
2019,Fiji,American Samoa,760429,7604,76,1.587,0.23,"Oil, metals and mineral products",760429,"Aluminium: alloys, bars, rods and profiles, other than hollow"
2019,Fiji,American Samoa,761010,7610,76,10.24,1.953,"Oil, metals and mineral products",761010,"Aluminium: structures (excluding prefabricated buildings of heading no. 9406) and parts of structures, doors, windows and their frames and thresholds for doors"
2019,Fiji,American Samoa,761090,7610,76,1.886,0.1,"Oil, metals and mineral products",761090,"Aluminium: structures (excluding prefabricated buildings of heading no. 9406) and parts of structures, n.e.c. in heading no. 7610, plates, rods, profiles, tubes and the like"
2019,Fiji,American Samoa,820340,8203,82,0.627,0.14,"Oil, metals and mineral products",820340,"Tools, hand: pipe-cutters, bolt croppers, perforating punches and similar tools"
2019,Fiji,American Samoa,831130,8311,83,0.01,0.01,"Oil, metals and mineral products",831130,"Rods and wire: coated rods and cored wire, of base metal, for soldering, brazing or welding by flame"
2019,Fiji,Australia,271000,2710,27,416.816,761.476,"Oil, metals and mineral products",271000,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils"
2019,Fiji,Australia,271210,2712,27,1.191,0.28,"Oil, metals and mineral products",271210,Petroleum jelly
2019,Fiji,Australia,710121,7101,71,2.094,,"Oil, metals and mineral products",710121,"Pearls: cultured, unworked, whether or not graded (but not strung, mounted or set), temporarily strung for the convenience of transport"
2019,Fiji,Australia,710691,7106,71,255.609,0.493,"Oil, metals and mineral products",710691,"Metals: silver, unwrought, (but not powder)"
2019,Fiji,Australia,710812,7108,71,49613.188,1.207,"Oil, metals and mineral products",710812,"Metals: gold, non-monetary, unwrought (but not powder)"
2019,Fiji,Australia,710813,7108,71,39.011,,"Oil, metals and mineral products",710813,"Metals: gold, semi-manufactured"
2019,Fiji,Australia,711311,7113,71,4.796,,"Oil, metals and mineral products",711311,"Jewellery: of silver, whether or not plated or clad with other precious metal, and parts thereof"
2019,Fiji,Australia,711319,7113,71,5.597,0.001,"Oil, metals and mineral products",711319,"Jewellery: of precious metal (excluding silver) whether or not plated or clad with precious metal, and parts thereof"
2019,Fiji,Australia,711320,7113,71,46.515,0.038,"Oil, metals and mineral products",711320,"Jewellery: of base metal clad with precious metal, and parts thereof"
2019,Fiji,Australia,711411,7114,71,2.805,0.003,"Oil, metals and mineral products",711411,"Silversmiths' wares: and parts thereof, of silver, whether or not plated or clad with other precious metal"
2019,Fiji,Australia,711719,7117,71,2.951,0.013,"Oil, metals and mineral products",711719,"Jewellery: imitation, (excluding cuff links and studs), of base metal, whether or not plated with precious metal"
2019,Fiji,Australia,711790,7117,71,2.969,0.123,"Oil, metals and mineral products",711790,"Jewellery: imitation, of other than base metal, whether or not plated with precious metal"
2019,Fiji,Australia,711810,7118,71,18.843,0.028,"Oil, metals and mineral products",711810,"Coin (other than gold coin), not being legal tender"
2019,Fiji,Australia,720421,7204,72,65.486,69.83,"Oil, metals and mineral products",720421,Ferrous waste and scrap: of stainless steel
2019,Fiji,Australia,720429,7204,72,171.774,166.888,"Oil, metals and mineral products",720429,Ferrous waste and scrap: of alloy steel (excluding stainless)
2019,Fiji,Australia,720430,7204,72,104.885,168.03,"Oil, metals and mineral products",720430,Ferrous waste and scrap: of tinned iron or steel
2019,Fiji,Australia,721090,7210,72,0.025,1.033,"Oil, metals and mineral products",721090,"Iron or non-alloy steel: flat-rolled, width 600mm or more, plated or coated with materials n.e.c. in heading no. 7210"
2019,Fiji,Australia,721320,7213,72,0.81,0.023,"Oil, metals and mineral products",721320,"Iron or non-alloy steel: bars and rods, hot-rolled, in irregularly wound coils, of free-cutting steel"
2019,Fiji,Australia,722219,7222,72,0.054,0.205,"Oil, metals and mineral products",722219,"Steel, stainless: bars and rods, hot-rolled, hot-drawn or extruded, other than of circular cross-section"
2019,Fiji,Australia,730411,7304,73,0.105,0.003,"Oil, metals and mineral products",730411,"Iron or steel (excluding cast iron): seamless, line pipe of a kind used for oil or gas pipelines, of stainless steel"
2019,Fiji,Australia,730490,7304,73,7.994,0.78,"Oil, metals and mineral products",730490,"Iron or steel (excluding cast iron): seamless, tubes, pipes and hollow profiles, seamless, n.e.c. in heading no. 7304"
2019,Fiji,Australia,730690,7306,73,2.182,0.205,"Oil, metals and mineral products",730690,"Iron or steel (excluding cast iron): tubes, pipes and hollow profiles (not seamless), n.e.c. in chapter 73"
2019,Fiji,Australia,730729,7307,73,4.987,0.265,"Oil, metals and mineral products",730729,"Steel, stainless: tube or pipe fittings, n.e.c. in item no. 7307.2"
2019,Fiji,Australia,730792,7307,73,0.108,0.015,"Oil, metals and mineral products",730792,"Iron or steel: tube or pipe fittings, threaded elbows, bends and sleeves, other than stainless steel"
2019,Fiji,Australia,730799,7307,73,7.877,0.262,"Oil, metals and mineral products",730799,"Iron or steel: tube or pipe fittings, n.e.c. in item no. 7307.9, other than stainless steel"
2019,Fiji,Australia,730830,7308,73,1.001,0.698,"Oil, metals and mineral products",730830,"Iron or steel: structures and parts thereof, doors, windows and their frames and thresholds for doors"
2019,Fiji,Australia,730840,7308,73,116.498,0.36,"Oil, metals and mineral products",730840,"Iron or steel: structures and parts thereof, props and similar equipment for scaffolding, shuttering or pit-propping"
2019,Fiji,Australia,730890,7308,73,44.616,3.912,"Oil, metals and mineral products",730890,"Iron or steel: structures and parts thereof, n.e.c. in heading 7308"
2019,Fiji,Australia,730900,7309,73,118.322,266.968,"Oil, metals and mineral products",730900,"Reservoirs, tanks, vats and similar containers: for any material (excluding compressed or liquefied gas), of iron or steel, capacity exceeding 300l, whether or not lined or heat insulated"
2019,Fiji,Australia,731010,7310,73,23.588,1.47,"Oil, metals and mineral products",731010,"Tanks, casks, drums, cans, boxes and similar containers, for any material (excluding compressed or liquefied gas), 50l or more capacity but not exceeding 300l"
2019,Fiji,Australia,731029,7310,73,367.617,370.573,"Oil, metals and mineral products",731029,"Tanks, casks, drums, boxes and similar containers for any material (excluding compressed or liquefied gas) less than 50l capacity, n.e.c. in item no. 7310.2, of iron or steel"
2019,Fiji,Australia,731100,7311,73,195.19,91.993,"Oil, metals and mineral products",731100,"Containers for compressed or liquefied gas, of iron or steel"
2019,Fiji,Australia,731210,7312,73,0.926,4.375,"Oil, metals and mineral products",731210,"Iron or steel: stranded wire, ropes and cables, not electrically insulated"
2019,Fiji,Australia,731290,7312,73,0.515,0.085,"Oil, metals and mineral products",731290,"Iron or steel: plaited bands, slings and the like, not electrically insulated"
2019,Fiji,Australia,731420,7314,73,0.654,0.205,"Oil, metals and mineral products",731420,"Iron or steel wire: grill, netting and fencing, welded at intersections, of wire with a maximum cross-sectional dimension of 3mm or more and mesh size 100cm2 or more"
2019,Fiji,Australia,731439,7314,73,0.077,0.063,"Oil, metals and mineral products",731439,"Iron or steel wire: grill, netting and fencing, welded at the intersection, n.e.c. in item no. 7314.20, (other than plated or coated with zinc)"
2019,Fiji,Australia,731512,7315,73,0.108,0.032,"Oil, metals and mineral products",731512,"Chain: articulated link, (other than roller), of iron or steel"
2019,Fiji,Australia,731589,7315,73,0.028,0.01,"Oil, metals and mineral products",731589,"Chain: n.e.c. in heading no. 7315, of iron or steel"
2019,Fiji,Australia,731700,7317,73,0.049,0.207,"Oil, metals and mineral products",731700,"Iron or steel: nails, tacks, drawing pins, corrugated nails, staples (not those of heading no. 8305) and the like, with heads of other material or not, but excluding articles with heads of copper"
