Exporting country,Importing country,Quantity (in metric tons)
Malaysia,Other,3517976.2890000003
Papua New Guinea,China,2995781.6739999996
Solomon Isds,China,1828041.9100000001
Malaysia,China,667378.7450000002
Malaysia,India,609537.1640000002
Malaysia,Indonesia,371496.86600000004
Malaysia,Yemen,216097.34699999998
Papua New Guinea,Other,171343.77400000003
Papua New Guinea,India,129486.11799999999
Solomon Isds,India,113343.491
Solomon Isds,Other,87096.09
