Exporting country,Importing country,Value of the trade flow (thousands current USD)
Pacific,China,3358243.0
Pacific,Australia,2870150.0
Pacific,Japan,2578089.0
Pacific,"Other Asia, nes",769226.0
Pacific,Other,572627.0
Pacific,Thailand,437948.0
Pacific,Rep. of Korea,382047.0
Pacific,Philippines,207076.0
Pacific,Singapore,166127.0
Pacific,Italy,130365.0
Pacific,Germany,109896.0
Pacific,USA,105138.0
Pacific,India,101590.0
