Exporting country,Importing country,Quantity (in metric tons)
Pacific,China,9710785.0
Pacific,Japan,4578053.0
Pacific,"Other Asia, nes",1566862.0
Pacific,Rep. of Korea,702481.0
Pacific,Australia,603977.0
Pacific,Thailand,548502.0
Pacific,Singapore,384118.0
Pacific,India,291457.0
Pacific,Other,289697.0
Pacific,Malaysia,165267.0
Pacific,"China, Hong Kong SAR",148144.0
Pacific,Philippines,135637.0
